Iteration,Model,ModNames,Sample,Score,Classification,TrueClass,Direction
1,1,model_1,GSM505335,0.939925913823092,0,0,0
1,1,model_1,GSM505336,0.824209111757624,0,0,0
1,1,model_1,GSM505337,0.0629707562773137,1,1,0
1,1,model_1,GSM505342,0.158351411962022,1,0,0
1,1,model_1,GSM505351,0.999395988595162,0,0,0
1,1,model_1,GSM505359,0.986018997895165,0,0,0
1,1,model_1,GSM505364,0.000860180688684916,1,1,0
1,1,model_1,GSM505367,0.142657955602018,1,1,0
1,1,model_1,GSM505373,0.860669608763085,0,0,0
1,1,model_1,GSM505375,0.000993215340374416,1,1,0
1,1,model_1,GSM505376,0.951521222423367,0,0,0
1,1,model_1,GSM505410,0.00388131757190711,1,1,0
1,1,model_1,GSM505417,0.985257251136908,0,0,0
1,1,model_1,GSM505419,0.99065889264725,0,0,0
1,1,model_1,GSM505422,0.00763705727958248,1,1,0
1,1,model_1,GSM505430,0.21827241866693,1,1,0
1,1,model_1,GSM505447,0.996836295749267,0,0,0
1,1,model_1,GSM505448,0.379408463451739,1,1,0
1,1,model_1,GSM505466,0.995156020644517,0,0,0
1,1,model_1,GSM505468,0.285539646884136,1,1,0
1,1,model_1,GSM505477,0.000295265882584616,1,1,0
1,1,model_1,GSM505481,0.308170388872793,1,1,0
1,1,model_1,GSM505482,0.0338279423903704,1,1,0
1,1,model_1,GSM505483,0.044225976957776,1,1,0
1,2,model_2,GSM505335,0.744,0,0,0
1,2,model_2,GSM505336,0.58,0,0,0
1,2,model_2,GSM505337,0.102,1,1,0
1,2,model_2,GSM505342,0.288,1,0,0
1,2,model_2,GSM505351,0.996,0,0,0
1,2,model_2,GSM505359,0.93,0,0,0
1,2,model_2,GSM505364,0.068,1,1,0
1,2,model_2,GSM505367,0.212,1,1,0
1,2,model_2,GSM505373,0.53,0,0,0
1,2,model_2,GSM505375,0.032,1,1,0
1,2,model_2,GSM505376,0.908,0,0,0
1,2,model_2,GSM505410,0.036,1,1,0
1,2,model_2,GSM505417,0.734,0,0,0
1,2,model_2,GSM505419,0.91,0,0,0
1,2,model_2,GSM505422,0.112,1,1,0
1,2,model_2,GSM505430,0.376,1,1,0
1,2,model_2,GSM505447,0.972,0,0,0
1,2,model_2,GSM505448,0.36,1,1,0
1,2,model_2,GSM505466,0.77,0,0,0
1,2,model_2,GSM505468,0.284,1,1,0
1,2,model_2,GSM505477,0.028,1,1,0
1,2,model_2,GSM505481,0.396,1,1,0
1,2,model_2,GSM505482,0.148,1,1,0
1,2,model_2,GSM505483,0.122,1,1,0
1,3,model_3,GSM505335,0.981032315617409,0,0,0
1,3,model_3,GSM505336,0.689044082304542,0,0,0
1,3,model_3,GSM505337,0.039622720273807,1,1,0
1,3,model_3,GSM505342,0.15390902984531,1,0,0
1,3,model_3,GSM505351,0.999961772170103,0,0,0
1,3,model_3,GSM505359,0.994369848197134,0,0,0
1,3,model_3,GSM505364,0.000371575466594605,1,1,0
1,3,model_3,GSM505367,0.135744937468896,1,1,0
1,3,model_3,GSM505373,0.910784442375275,0,0,0
1,3,model_3,GSM505375,7.17456311737403e-06,1,1,0
1,3,model_3,GSM505376,0.993782139772845,0,0,0
1,3,model_3,GSM505410,0.00161705336999866,1,1,0
1,3,model_3,GSM505417,0.999256108572488,0,0,0
1,3,model_3,GSM505419,0.998999980381288,0,0,0
