"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"1","34","0.979425770793176","0.979425770793176","0.977941628984471","0.977941628984471"
"2","27","0.979016165386328","0.979016165386328","0.977633186902714","0.977633186902716"
"3","377","0.978953606247482","0.978953606247482","0.977067587645906","0.977067587645906"
"4","167","0.979424100044263","0.979424100044263","0.97696428519097","0.976964285190971"
"5","244","0.978451653339279","0.978451653339279","0.976957691417251","0.976957691417252"
"6","454","0.979288583293856","0.979288583293856","0.97676940254549","0.97676940254549"
"7","587","0.978660604280767","0.978660604280767","0.976758412922624","0.976758412922624"
"8","118","0.978536565805625","0.978536565805625","0.97638989423587","0.97638989423587"
"9","237","0.977485068181517","0.977485068181517","0.976294650837702","0.976294650837704"
"10","202","0.978999006381117","0.978999006381117","0.976180358759902","0.976180358759902"
"11","160","0.977059286004816","0.977059286004816","0.976028701964359","0.976028701964358"
"12","419","0.977754385236438","0.977754385236438","0.975989871963567","0.975989871963566"
"13","545","0.978307166129293","0.978307166129293","0.975794256676562","0.975794256676562"
"14","335","0.977776520508574","0.977776520508574","0.975703409127541","0.975703409127542"
"15","447","0.977904491418956","0.977904491418955","0.97568142988181","0.975681429881812"
"16","797","0.978430387772058","0.978430387772058","0.975677766674188","0.975677766674188"
"17","629","0.978001263936442","0.978001263936442","0.975621353276813","0.975621353276812"
"18","461","0.97727843236986","0.97727843236986","0.975615492144618","0.975615492144616"
"19","566","0.978409163353774","0.978409163353774","0.975391303838162","0.975391303838162"
"20","251","0.977034860548164","0.977034860548164","0.97530192157219","0.975301921572189"
"21","356","0.979073498158976","0.979073498158976","0.975226459495181","0.975226459495181"
"22","790","0.978696446366241","0.978696446366241","0.97504329911409","0.975043299114089"
"23","727","0.97798895230121","0.97798895230121","0.974718006277273","0.974718006277273"
"24","41","0.975898362038503","0.975898362038503","0.974528984763987","0.974528984763987"
"25","328","0.977299871025732","0.977299871025732","0.974408098912467","0.974408098912467"
"26","146","0.977661279828559","0.977661279828559","0.974402237780272","0.974402237780272"
"27","209","0.976036566018619","0.976036566018619","0.974226403814425","0.974226403814425"
"28","384","0.977782544534141","0.977782544534141","0.974175118907719","0.97417511890772"
"29","594","0.977782544534141","0.977782544534141","0.974175118907719","0.97417511890772"
"30","804","0.977782544534141","0.977782544534141","0.974175118907719","0.97417511890772"
"31","125","0.975431324616503","0.975431324616503","0.974166327209427","0.974166327209428"
"32","20","0.973792853891393","0.973792853891393","0.973794877956575","0.973794877956579"
"33","412","0.976818243754583","0.976818243754583","0.973756780597308","0.973756780597309"
"34","748","0.977607912283222","0.977607912283222","0.973706960973651","0.973706960973652"
"35","174","0.978226162259009","0.978226162259009","0.973680585878774","0.973680585878774"
"36","538","0.976320354899157","0.976320354899157","0.973646151727129","0.973646151727128"
"37","139","0.977746835315527","0.977746835315527","0.973558234744206","0.973558234744208"
"38","734","0.977134656372466","0.977134656372466","0.973553838895059","0.973553838895059"
"39","370","0.975405029857913","0.975405029857913","0.973547977762865","0.973547977762864"
"40","580","0.975373067029075","0.975373067029075","0.973220487001474","0.973220487001474"
"41","414","0.97838013927328","0.97838013927328","0.973150153415135","0.973150153415133"
"42","832","0.976857979005715","0.976857979005715","0.973082750394894","0.973082750394894"
