"","GSM505327","GSM505328","GSM505329","GSM505330","GSM505334","GSM505337","GSM505338","GSM505339","GSM505346","GSM505347","GSM505348","GSM505352","GSM505353","GSM505354","GSM505355","GSM505361","GSM505362","GSM505363","GSM505364","GSM505365","GSM505366","GSM505367","GSM505368","GSM505371","GSM505374","GSM505375","GSM505378","GSM505382","GSM505384","GSM505388","GSM505390","GSM505392","GSM505394","GSM505398","GSM505402","GSM505404","GSM505406","GSM505408","GSM505410","GSM505412","GSM505414","GSM505415","GSM505420","GSM505422","GSM505424","GSM505426","GSM505427","GSM505429","GSM505430","GSM505431","GSM505433","GSM505448","GSM505449","GSM505451","GSM505452","GSM505453","GSM505455","GSM505456","GSM505457","GSM505458","GSM505461","GSM505463","GSM505464","GSM505465","GSM505468","GSM505469","GSM505471","GSM505472","GSM505473","GSM505474","GSM505477","GSM505479","GSM505480","GSM505481","GSM505482","GSM505483","GSM505484","GSM505485","GSM505486","GSM505488"
"205225_at",13.0759,13.7616,12.736,13.8228,12.8445,11.8396,12.4562,12.2024,12.8623,13.764,11.444,14.2366,13.7238,11.4232,11.3391,12.7341,12.9117,13.8611,11.6071,12.9999,14.1548,11.7896,13.1663,12.0832,12.9374,12.5191,12.0389,13.6226,10.8245,13.5035,12.0186,13.483,12.1408,12.2749,13.0559,14.0098,14.0217,12.5402,10.9442,7.895,12.2433,13.2485,11.8458,14.1295,11.1843,12.9698,11.7818,10.8334,12.0949,12.9905,11.202,11.995,10.2914,12.9166,12.2656,11.8145,12.5353,13.422,12.5867,11.8206,9.6024,11.0475,12.7629,12.8106,12.3486,12.6635,14.0632,12.1359,10.2524,12.9502,12.4009,12.5568,11.5745,11.3717,11.1494,12.1828,14.7744,13.3059,12.3296,14.6833
"209603_at",10.5793,10.5772,11.1181,12.3437,10.5914,10.2397,10.0288,10.9478,11.4367,10.3884,10.9906,11.508,11.5596,11.7166,8.9839,11.1457,10.9915,11.4351,11.157,11.0987,11.3986,10.7427,12.036,10.4631,12.2846,11.2264,11.0791,10.6735,9.0168,10.629,10.7869,11.1849,10.725,10.7588,10.9914,9.569,11.3047,11.802,11.272,8.0909,10.5622,11.2837,10.78,11.9385,10.4262,11.411,11.0567,11.3628,11.0086,11.2769,9.6543,10.9685,9.8598,12.0863,10.3972,10.003,11.7446,11.5473,11.8294,9.5336,9.9781,9.5281,12.4544,11.9442,10.8329,12.2991,10.476,9.3952,9.4884,11.1543,12.0558,9.9061,10.3189,10.5788,10.5111,11.2168,11.4996,11.5555,9.9595,11.4715
"212956_at",13.36,13.2925,12.3582,13.1325,13.433,11.8889,12.4273,12.4745,11.6637,13.9558,13.1016,13.1174,13.7972,13.2411,12.5047,12.6052,12.7904,13.3609,12.8879,11.3677,13.2225,12.177,13.0678,12.2257,13.022,13.4395,13.5637,12.5382,11.1295,12.2744,10.9664,12.3577,11.6939,12.2083,12.9762,10.3379,12.5246,12.7891,9.9531,11.4561,12.6507,12.2621,12.7044,13.929,12.7331,12.2626,11.2163,12.8769,11.248,13.3934,12.1265,12.9209,12.2946,13.6283,12.3058,11.3646,12.9655,12.9782,13.6062,12.5998,13.0948,10.866,14.3211,13.7081,12.346,14.4063,13.5991,12.5977,10.228,13.0467,12.4623,11.9581,12.8542,11.4698,12.0226,12.7002,13.6442,13.2354,11.5862,14.4884
"212960_at",10.8422,10.572,9.8482,10.6942,10.9367,9.8482,9.1346,9.951,9.3393,11.7924,10.4734,10.643,12.27,10.8471,10.4006,10.1141,10.6801,10.7132,10.1562,8.4909,10.0517,8.2661,10.6223,10.2502,10.5886,11.0586,10.8038,10.4601,8.1114,10.1967,9.4758,11.1463,10.3844,11.3707,10.5611,10.3516,10.062,10.1193,8.4802,8.7074,9.9546,10.0258,10.4334,11.678,9.8244,9.8656,8.7717,10.1834,9.2464,10.9715,9.4588,9.9301,9.9232,11.7053,9.4515,9.0806,10.2371,10.7038,11.0206,9.6936,11.3319,8.8849,11.7982,11.7758,10.0879,11.7574,11.2822,9.9247,8.0714,11.0139,10.1567,9.4933,9.8661,8.7772,9.3381,10.1287,11.1524,10.9948,9.4518,11.188
"214440_at",12.6295,13.4492,12.3205,8.7672,9.6743,13.2828,10.5,10.7921,10.0699,14.6369,12.7442,13.5126,12.3125,13.3354,11.2106,11.942,11.2301,12.9845,14.0729,12.3862,14.3388,11.5947,11.9927,14.7162,9.436,8.6102,8.6438,11.5999,8.3304,12.8065,12.0965,13.1922,10.7519,12.7617,8.4377,11.0875,13.3407,8.5419,8.8882,10.689,9.0839,12.5483,13.4287,13.9311,9.5591,13.1726,8.6709,11.5516,11.9122,13.7108,10.0984,13.3537,12.6998,14.7382,12.5226,9.6873,12.9769,13.6351,14.7901,10.5346,13.2798,10.1048,12.3067,13.8763,11.2713,13.1579,10.8406,11.0351,10.2493,12.9423,13.8486,14.4613,13.4557,10.1615,13.2088,10.9807,13.4771,10.5127,10.6027,11.544
"209604_s_at",14.3763,14.0214,14.5222,14.9144,13.3798,14.1152,14.088,14.6333,14.664,14.508,14.3534,14.4045,14.3113,14.7897,13.169,14.3155,14.9286,14.3454,14.4465,14.404,14.3343,14.2872,14.4551,14.7315,14.8685,14.8729,14.2505,13.9018,12.9159,13.7334,14.2651,14.5038,14.5693,13.8295,14.3148,13.8379,14.4673,14.3213,14.8717,11.6816,14.9933,14.936,14.1947,14.996,14.627,14.4276,14.5758,14.2774,14.3484,14.4267,13.6494,14.3931,13.7352,14.9263,14.1932,13.2399,14.956,14.674,14.9417,13.671,14.0026,13.3156,15.2349,14.9183,14.0905,15.0195,13.773,13.6573,13.186,14.7152,15.0045,14.0287,14.4412,14.1005,14.2047,14.7614,14.8724,15.1204,13.769,15.1746
"214164_x_at",12.6474,11.7852,12.7464,10.9562,9.2602,11.6491,11.9349,11.1997,12.8061,13.1942,11.9813,11.8014,12.0271,10.4683,11.6847,12.2213,11.885,13.5777,12.6334,12.2108,12.3533,11.7466,12.6511,12.2398,12.5708,13.7442,11.2563,12.0394,11.076,12.7348,12.2847,13.5292,12.8285,13.0173,12.2478,14.0764,12.7134,9.4755,11.4074,10.6555,11.6343,12.161,12.7039,14.8983,11.6794,11.9407,12.1756,12.7763,11.213,14.4136,13.1194,12.8993,13.035,12.908,13.1264,10.2122,12.9575,13.1537,14.0839,11.6268,13.3777,10.8956,13.9203,13.4985,10.9554,13.7563,12.3503,11.0469,11.4131,11.6872,12.4113,12.7731,13.0116,13.9149,12.0102,12.1311,13.1068,14.0103,13.9384,12.2817
"204508_s_at",10.1763,9.3275,9.92,8.9128,6.4544,8.4624,9.0767,8.8618,10.3608,10.4822,9.5693,9.3072,9.7793,8.1056,8.7031,10.076,8.0906,11.4458,9.7068,9.3395,9.8688,9.4071,10.1436,9.3766,10.1122,11.2929,9.1324,9.7578,8.353,10.7588,10.1203,10.8232,10.2651,10.1747,10.746,11.6026,10.7002,7.4145,9.0546,8.0046,7.6451,9.2572,10.3686,12.795,8.475,8.8656,9.4682,9.737,8.0685,12.238,10.106,10.3476,10.788,10.3959,10.3555,6.4935,10.9673,10.9712,11.6516,8.9403,11.5707,8.1877,11.9468,10.9283,8.3631,11.7365,9.9419,8.7742,8.8494,9.1732,9.9137,10.4918,10.356,11.4213,9.8751,9.7861,10.6719,11.8875,11.3125,9.5181
"215867_x_at",12.6194,11.5534,12.7285,11.0454,9.2365,11.8321,12.0586,11.2566,12.5183,12.9994,12.217,11.9344,11.8592,10.5819,11.6647,12.3123,12.1451,13.3377,12.4268,12.156,12.3598,11.7531,12.4881,12.3237,12.2942,13.5062,11.2328,11.5032,11.2002,12.4754,12.3601,12.9799,12.1248,12.5534,12.313,13.9752,12.4954,9.8276,11.7004,10.6948,11.6786,11.7016,12.5347,14.7284,11.4289,11.9018,12.22,12.555,11.431,14.1152,12.7516,12.7764,12.8726,12.6528,12.9668,10.2404,12.7089,12.9391,13.8849,11.6762,13.2189,10.6105,13.8427,13.2226,10.9504,13.4699,12.2351,11.1743,11.2031,11.7157,12.0084,12.6107,12.6857,13.8362,12.0276,11.8135,12.8927,13.788,13.592,12.2326
"210735_s_at",11.5638,10.8918,11.6213,9.7456,7.8738,10.0083,10.7399,9.7376,11.9763,12.0741,11.0802,10.4727,10.7946,9.9596,10.3508,11.5397,11.2167,12.572,11.2184,11.1162,11.73,10.7053,11.1614,11.1342,10.8788,12.4535,9.8943,10.7831,8.5793,11.7114,10.8935,11.8609,10.9715,11.3171,10.8518,12.8864,11.1198,8.7158,9.5679,9.2265,8.7475,10.2123,11.6425,14.388,9.1264,10.1882,10.4036,10.6465,9.358,13.084,10.8096,10.6624,10.872,10.9505,10.7562,8.3319,10.3794,10.9609,12.1078,9.3354,11.7083,8.7372,11.6722,11.4265,8.8549,11.0995,10.4197,9.7764,10.0312,9.8777,10.6261,11.2004,10.6273,11.3223,10.4052,10.2118,11.0796,11.9082,11.7399,8.8729
