"","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"205225_at",8.3607,8.9998,8.974,7.0561,7.987,10.1026,8.0999,8.5567,10.7157,8.5834,7.4728,8.4135,6.8669,8.4676,7.6136,8.4559,7.8963,8.15,7.4166,8.6856,8.1952,10.719,3.6784,8.2599,7.4097,7.7153,7.2509,7.4147,10.2287,6.2819,5.8987,7.3404,7.8375,7.9667,7.2503,7.9329,12.652,8.8311,8.0794,8.1639,10.0307,3.8104,9.17,7.0398,6.3992,7.5145,8.3734,12.3648,9.3602,7.7434
"209603_at",7.7225,8.4591,7.356,6.6269,8.886,10.1557,9.0275,8.4549,8.9255,8.068,10.4111,7.4519,7.9928,7.8222,7.5922,6.7856,7.3408,8.4789,7.7591,5.3853,7.2157,9.6384,7.164,7.8118,8.0759,7.6964,7.3315,7.3256,10.0573,3.7156,9.2016,5.1312,6.9875,4.6863,10.7034,7.2876,10.3587,8.9991,6.966,7.8156,9.2359,7.1924,10.0765,6.457,6.7758,4.6637,7.668,10.2034,8.2222,8.1615
"212956_at",10.8038,8.3545,10.0088,8.9243,10.9061,10.9066,10.6692,10.2593,11.99,8.9875,11.971,9.7345,9.3805,8.9354,10.5317,10.1753,9.7544,9.7492,9.2101,8.8312,8.6669,10.5998,8.8364,11.359,9.6608,9.8368,7.9427,9.2672,11.265,8.7523,10.4149,8.948,7.7249,7.9109,11.2042,9.4619,11.6239,9.5934,10.9837,10.5981,10.3561,7.2423,11.6962,8.976,7.6085,7.8995,9.441,13.1114,11.2233,9.3679
"212960_at",8.4035,8.372,8.3818,7.6843,8.6924,8.57,8.664,8.0576,9.418,9.2876,9.4486,8.2824,8.1298,8.0405,8.7878,8.5951,8.3719,8.2607,8.3023,7.99,8.4119,8.7242,8.2816,8.3448,8.8188,8.438,7.8309,9.0729,8.9229,8.1439,8.5516,8.4621,8.2011,8.4441,9.5143,8.218,9.6075,9.2432,8.9648,9.0827,8.4213,7.0533,8.9946,7.1155,6.5165,7.9606,7.7009,10.3256,8.7271,8.5605
"214440_at",9.8562,8.1629,8.5573,7.1961,8.4331,10.0989,8.7904,8.9649,8.9039,8.8652,9.0391,8.6642,8.574,8.3989,9.2643,8.8052,9.2215,9.0208,6.9822,8.159,8.7538,9.3593,8.2756,7.7187,8.0431,8.568,8.4273,8.7282,9.5844,8.5848,7.3687,7.4075,7.9138,7.0526,9.5429,8.6429,10.3438,8.7594,9.3533,9.1912,7.7728,7.912,11.267,8.6927,6.8122,8.0262,9.0515,12.866,9.4424,7.775
"209604_s_at",10.8821,12.2287,11.0112,9.7734,13.2361,14.1058,12.722,12.5708,12.6522,10.8359,13.6927,10.2794,11.3702,12.1343,11.4554,10.1851,10.699,12.1241,11.528,9.4435,11.3759,14.1977,11.1143,11.6584,12.7958,11.0267,10.5023,9.708,13.3445,8.305,12.8519,10.5326,9.724,7.3236,13.8973,10.2403,13.9074,12.9684,9.7665,12.6122,12.7592,9.582,13.839,9.9527,10.0017,10.3415,11.7681,14.2836,11.7642,11.264
"214164_x_at",9.6913,8.7343,9.7714,7.4908,9.802,10.9737,10.8545,10.1915,10.8192,8.7484,9.5298,9.7979,9.1679,8.8358,8.3473,7.5039,9.6233,9.2567,7.8891,8.2866,8.1543,11.4492,9.882,9.4506,12.7615,9.9437,8.871,8.0169,11.8167,9.1091,11.3181,7.8265,8.643,7.6351,12.4894,7.7479,11.5448,9.708,8.2237,9.8416,9.8019,7.0129,10.7241,8.2308,6.5685,8.8265,9.1538,13.0672,9.3508,12.7241
"204508_s_at",4.8606,4.5569,4.723,3.7788,7.2568,8.201,8.4555,5.8544,7.7363,5.4881,6.3788,6.2395,4.7333,4.5763,4.1328,4.7115,5.852,5.6595,3.1318,4.7862,3.5843,8.9374,6.8452,7.0044,10.3654,7.6257,6.5162,4.5782,8.5738,5.1272,8.7904,4.5907,3.6682,3.4802,10.3336,4.3129,8.4227,5.2147,4.5194,7.1318,7.5743,3.9804,8.6209,3.3617,3.5299,6.4021,7.3977,10.2045,5.4341,10.1568
"215867_x_at",9.8391,9.3945,10.1242,8.4811,9.8661,10.931,10.7828,10.5213,10.7924,9.3723,9.5794,9.7829,9.5442,9.0829,8.7861,8.1038,9.7983,9.3203,7.8491,8.7277,8.8596,11.3998,9.9496,9.7074,12.6609,9.9286,9.7538,9.7164,11.5719,9.4105,11.2668,8.3812,7.2726,8.368,12.607,8.15,11.534,9.9146,8.3414,10.3519,9.4783,6.0918,10.6393,8.3014,7.2514,9.0692,8.7807,12.7996,9.2339,12.4857
"210735_s_at",8.3891,8.259,8.6826,7.3029,9.0941,9.6425,9.4931,8.8212,10.0638,8.9721,8.6477,8.9561,7.6934,8.6782,7.4385,7.6504,8.5991,7.985,7.8961,8.7508,8.11,10.285,8.3163,7.7867,11.0401,8.6828,7.171,9.0262,9.1473,8.098,9.3413,7.8362,6.9872,7.2154,11.3022,7.2658,9.4358,7.6549,8.2358,8.881,7.7896,5.1655,8.7325,5.337,5.1141,6.7031,7.1023,10.2781,7.746,10.375
