Iteration,Model,ModNames,Sample,Score,Classification,TrueClass,Direction
1,1,model_1,GSM505335,0.54424809846154,0,0,0
1,1,model_1,GSM505336,0.642253983922925,0,0,0
1,1,model_1,GSM505337,0.915760503573129,0,0,0
1,1,model_1,GSM505342,0.765225302821995,0,1,0
1,1,model_1,GSM505351,0.0245348814729899,1,0,0
1,1,model_1,GSM505359,0.643706738242488,0,1,0
1,1,model_1,GSM505364,0.0818809819081242,1,1,0
1,1,model_1,GSM505367,0.318812096163078,1,1,0
1,1,model_1,GSM505373,0.151736641971487,1,1,0
1,1,model_1,GSM505375,0.134917322051038,1,0,0
1,1,model_1,GSM505376,0.14624620597307,1,1,0
1,1,model_1,GSM505410,0.664080460007081,0,0,0
1,1,model_1,GSM505417,0.973809199558776,0,0,0
1,1,model_1,GSM505419,0.566212730300377,0,1,0
1,1,model_1,GSM505422,0.420414671871364,1,0,0
1,1,model_1,GSM505430,0.104400546508873,1,0,0
1,1,model_1,GSM505447,0.586913188179355,0,1,0
1,1,model_1,GSM505448,0.0571271134629078,1,1,0
1,1,model_1,GSM505466,0.00502869972490839,1,0,0
1,1,model_1,GSM505468,0.324665714231934,1,1,0
1,1,model_1,GSM505477,0.43056439763319,1,0,0
1,1,model_1,GSM505481,0.772822121763318,0,1,0
1,1,model_1,GSM505482,0.59299449564406,0,0,0
1,1,model_1,GSM505483,0.53638489537987,0,1,0
1,2,model_2,GSM505335,0.62,0,0,0
1,2,model_2,GSM505336,0.574,0,0,0
1,2,model_2,GSM505337,0.926,0,0,0
1,2,model_2,GSM505342,0.702,0,1,0
1,2,model_2,GSM505351,0.096,1,0,0
1,2,model_2,GSM505359,0.45,1,1,0
1,2,model_2,GSM505364,0.154,1,1,0
1,2,model_2,GSM505367,0.164,1,1,0
1,2,model_2,GSM505373,0.384,1,1,0
1,2,model_2,GSM505375,0.396,1,0,0
1,2,model_2,GSM505376,0.234,1,1,0
1,2,model_2,GSM505410,0.594,0,0,0
1,2,model_2,GSM505417,0.666,0,0,0
1,2,model_2,GSM505419,0.46,1,1,0
1,2,model_2,GSM505422,0.384,1,0,0
1,2,model_2,GSM505430,0.172,1,0,0
1,2,model_2,GSM505447,0.54,0,1,0
1,2,model_2,GSM505448,0.066,1,1,0
1,2,model_2,GSM505466,0.228,1,0,0
1,2,model_2,GSM505468,0.446,1,1,0
1,2,model_2,GSM505477,0.14,1,0,0
1,2,model_2,GSM505481,0.568,0,1,0
1,2,model_2,GSM505482,0.42,1,0,0
1,2,model_2,GSM505483,0.492,1,1,0
1,3,model_3,GSM505335,0.799804864019171,0,0,0
1,3,model_3,GSM505336,0.944833831352099,0,0,0
1,3,model_3,GSM505337,0.908199494721164,0,0,0
1,3,model_3,GSM505342,0.790632730741877,0,1,0
1,3,model_3,GSM505351,0.0459511805915688,1,0,0
1,3,model_3,GSM505359,0.714688450662551,0,1,0
1,3,model_3,GSM505364,0.0951881150568993,1,1,0
1,3,model_3,GSM505367,0.440443632465149,1,1,0
1,3,model_3,GSM505373,0.162842913528627,1,1,0
1,3,model_3,GSM505375,0.072992422892009,1,0,0
1,3,model_3,GSM505376,0.245837222423965,1,1,0
1,3,model_3,GSM505410,0.826352930692229,0,0,0
